LOCATION_GROUP,LOCATION_TYPE,LOCATION_CODE,LOCATION,LONGITUDE,LATITUDE
Metrobus Duragi,Metrobus Duragi,069-Halicioglu Metrobus Duragi,BEYOĞLU,28.946172,41.048676
Metrobus Duragi,Metrobus Duragi,069-Edirnekapi Metrobus Duragi,EYÜPSULTAN,28.929616,41.033459
Metrobus Duragi,Metrobus Duragi,069-Ayvansaray Metrobus Duragi,FATİH,28.937235,41.038498
Metrobus Duragi,Metrobus Duragi,069-Topkapi Metrobus Duragi,FATİH,28.91748,41.020437
Metrobus Duragi,Metrobus Duragi,069-Merter Metrobus Duragi,GÜNGÖREN,28.897702,41.007885
Metrobus Duragi,Metrobus Duragi,069-Fikirtepe Metrobus Duragi,KADIKÖY,29.047076,40.993701
Metrobus Duragi,Metrobus Duragi,069-Sogutlucesme Metrobus Duragi,KADIKÖY,29.037621,40.991664
Metrobus Duragi,Metrobus Duragi,069-Caglayan Metrobus Duragi,KAĞITHANE,28.980888,41.067502
Metrobus Duragi,Metrobus Duragi,069-Okmeydani Hastane Metrobus Duragi,KAĞITHANE,28.976454,41.067471
Metrobus Duragi,Metrobus Duragi,069-Okmeydani Metrobus Duragi,KAĞITHANE,28.96149,41.05669
Metrobus Duragi,Metrobus Duragi,069-Kucukcekmece Metrobus Duragi,KÜÇÜKÇEKMECE,28.768571,40.98623
Metrobus Duragi,Metrobus Duragi,069-Cevizlibag Metrobus Duragi,ZEYTİNBURNU,28.911086,41.016526
Metrobus Duragi,Metrobus Duragi,069-Zeytinburnu Metrobus Duragi,ZEYTİNBURNU,28.891292,41.00358
Metrobus Duragi,Metrobus Duragi,069-15 Temmuz Sehitler Koprusu Metrobus Duragi,ÜSKÜDAR,29.042553,41.036865
Metrobus Duragi,Metrobus Duragi,069-Acibadem Metrobus Duragi,ÜSKÜDAR,29.056885,41.014909
Metrobus Duragi,Metrobus Duragi,069-Altunizade Metrobus Duragi,ÜSKÜDAR,29.048627,41.021535
Metrobus Duragi,Metrobus Duragi,069-Burhaniye Metrobus Duragi,ÜSKÜDAR,29.046886,41.031935
Metrobus Duragi,Metrobus Duragi,069-Mecidiyekoy Metrobus Duragi,ŞİŞLİ,28.991766,41.066865
Metrobus Duragi,Metrobus Duragi,069-Zincirlikuyu Metrobus Duragi,ŞİŞLİ,29.012712,41.066239
Sehir Hatlari Iskelesi,Iskele,027-Beykoz Anadolu Hisari Iskelesi,BEYKOZ,29.066626,41.083229
Sehir Hatlari Iskelesi,Iskele,027-Karakoy Iskele,BEYOĞLU,28.976729,41.021744
Sehir Hatlari Iskelesi,Iskele,027-Besiktas Kadikoy Iskelesi,BEŞİKTAŞ,29.00548,41.040095
Sehir Hatlari Iskelesi,Iskele,027-Besiktas Uskudar Iskelesi,BEŞİKTAŞ,29.007688,41.04247
Sehir Hatlari Iskelesi,Iskele,027-Eminonu Bogaz Iskelesi,FATİH,28.973894,41.017585
Sehir Hatlari Iskelesi,Iskele,027-Eminonu Kadikoy Iskelesi,FATİH,28.972923,41.018207
Sehir Hatlari Iskelesi,Iskele,027-Eminonu Uskudar Iskelesi,FATİH,28.973976,41.017609
Sehir Hatlari Iskelesi,Iskele,027-Kadikoy Eminonu Iskelesi,KADIKÖY,29.02325,40.992703
Sehir Hatlari Iskelesi,Iskele,027-Uskudar Iskelesi,ÜSKÜDAR,29.014881,41.027275
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Ahmet Hulusi Yıldırım Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Baris Manco Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Besiktas Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Beykoz Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Beyoglu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Durusu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Emin Kul Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Fahri S. Koruturk Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Fatih Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Goksu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Gumussu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Haskoy Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Istanbul 9 Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Kadikoy Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Kucuksu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Moda Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Mustafa Aydogdu Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Nurettin Alptogan Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Prof. Dr. Aykut Barka Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Prof. Dr. Fuat Sezgin Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Sariyer Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Sehit Ilker Karter Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Sehit Metin Sulus Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehir Hatlari Sutluce Vapuru,Sehir Hatlari Vapuru,0,0
Sehir Hatlari Vapuru,Sehir Hatlari Vapuru,Sehit Hatlari Sehit Sami Akbulut Vapuru,Sehir Hatlari Vapuru,0,0
Sosyal Tesis,Sosyal,024-Florya Sosyal Tesisleri,BAKIRKÖY,28.807531,40.960245
Sosyal Tesis,Sosyal,024-Kasimpasa Sosyal Tesisleri,BEYOĞLU,28.9668,41.029852
